id,topic
2187,for-kids
4725,sports
2482,science-technology
3314,science-technology
7279,music
5961,music
7141,music
2038,music
8908,music
1585,science-technology
2201,music
8836,music
8777,music
6300,music
6294,music
6914,music
8283,music
1177,science-technology
102,science-technology
4679,sports
8791,music
6866,music
4648,sports
2900,sports
945,science-technology
7625,music
154,music
129,science-technology
6893,music
226,science-technology
5629,music
7928,music
8313,music
8177,music
5852,music
2061,music
8274,music
8125,music
4935,sports
2556,video-games
4710,sports
5791,music
6903,music
3127,sports
6315,music
473,science-technology
4616,sports
2867,sports
32,science-technology
558,science-technology
887,science-technology
1153,science-technology
1724,science-technology
8029,music
649,science-technology
7294,music
7288,music
3996,sports
872,science-technology
5038,science-technology
8492,music
6392,music
6097,music
548,science-technology
5681,music
3250,sports
4377,sports
1900,music
1877,science-technology
5447,music
1352,science-technology
3813,sports
4368,sports
6193,music
4550,sports
2059,science-technology
7425,music
4419,sports
1559,music
5414,music
6218,music
8420,music
7526,music
6462,science-technology
8590,music
8706,music
805,science-technology
7040,music
873,music
3149,sports
7944,music
335,science-technology
7823,music
4618,sports
1100,music
1813,science-technology
585,science-technology
3184,sports
3423,sports
3489,sports
7583,music
7761,music
5022,sports
6068,sports
8090,music
6625,music
2772,video-games
1649,science-technology
6222,music
3270,sports
1568,music
7485,music
2111,for-kids
6830,music
5838,music
7989,music
3712,sports
999,science-technology
3288,science-technology
4152,music
6623,music
7902,music
7699,music
320,science-technology
5063,sports
5267,music
8428,music
5751,music
5101,sports
1435,science-technology
3882,science-technology
5514,music
5362,music
1460,science-technology
7055,music
4895,sports
4313,sports
4728,sports
250,science-technology
5691,music
2020,for-kids
848,science-technology
7797,music
1587,science-technology
6509,music
5855,music
7096,music
767,sports
7538,music
4018,sports
6033,music
3988,sports
703,science-technology
7491,music
4549,music
6385,music
6485,music
1860,for-kids
355,science-technology
8689,music
6320,music
1867,music
1554,music
8800,music
8179,music
4585,sports
4298,sports
3670,sports
6916,music
7997,music
7868,music
3016,sports
105,science-technology
8215,music
7027,music
7471,music
8005,music
4350,sports
5702,music
7857,music
4997,sports
6862,music
5203,sports
2348,for-kids
539,science-technology
381,science-technology
3671,sports
2641,video-games
8290,music
4908,sports
2387,science-technology
4583,sports
5083,sports
3107,music
216,science-technology
6175,music
4102,science-technology
643,science-technology
4874,sports
3893,sports
2941,music
3166,sports
1896,music
3130,sports
5413,music
22,science-technology
1096,science-technology
5381,music
5112,sports
5218,science-technology
3075,sports
3494,science-technology
7020,music
1128,science-technology
890,science-technology
8566,music
4446,music
5324,music
3944,sports
632,science-technology
1483,science-technology
4744,sports
7460,music
1547,science-technology
590,science-technology
2382,science-technology
7461,music
6995,music
7406,music
141,music
4252,sports
8129,music
5233,sports
6063,music
1779,science-technology
5054,sports
4592,sports
4612,sports
8562,music
5436,science-technology
5078,sports
1117,music
1666,science-technology
440,science-technology
5023,sports
4328,sports
7931,music
8727,music
3820,science-technology
7193,music
2002,for-kids
3104,sports
2984,music
4366,sports
4389,sports
2697,science-technology
6770,music
2815,science-technology
3086,sports
7021,music
3285,music
3355,sports
4934,sports
1155,science-technology
7416,music
8433,music
1873,science-technology
2533,video-games
1880,science-technology
3823,sports
7090,music
1938,for-kids
4538,sports
808,science-technology
3010,sports
6529,music
196,science-technology
3260,sports
2872,video-games
1391,science-technology
7708,music
1502,science-technology
3452,music
5899,music
6013,music
6850,music
8301,music
4566,sports
1459,science-technology
8770,music
4396,sports
8279,music
2240,for-kids
3947,sports
360,science-technology
2094,for-kids
6324,music
4586,sports
6595,music
2285,for-kids
39,science-technology
4674,sports
6790,music
4167,sports
3635,sports
6982,music
7159,music
2251,science-technology
1237,science-technology
898,science-technology
1714,science-technology
1486,science-technology
1248,science-technology
720,science-technology
1279,science-technology
8406,music
8814,music
5304,music
6666,music
1778,science-technology
1657,music
8501,music
6072,music
6588,music
4468,sports
5957,music
5797,music
7062,music
1710,sports
3746,sports
8365,music
6844,music
961,science-technology
5859,music
1194,science-technology
1556,science-technology
4106,sports
1367,science-technology
325,science-technology
1636,science-technology
3511,sports
569,music
6813,music
8611,music
2688,video-games
6647,music
7827,music
4315,sports
368,science-technology
2920,sports
1003,music
2395,music
7374,music
7185,music
2944,science-technology
2090,for-kids
2525,video-games
655,science-technology
6571,music
1777,science-technology
468,science-technology
910,music
4702,sports
5941,music
1934,science-technology
835,science-technology
5412,music
1504,science-technology
8350,music
4968,sports
5293,music
712,science-technology
8309,music
1,science-technology
1139,science-technology
4174,science-technology
5887,music
7781,music
5456,music
5876,music
2915,sports
6874,music
130,science-technology
1402,music
8244,music
7859,science-technology
3208,sports
2509,video-games
2681,video-games
647,science-technology
1941,music
7336,music
1803,science-technology
8659,music
7098,music
2662,video-games
3656,sports
5314,music
6936,science-technology
4822,sports
5026,sports
4418,sports
2847,science-technology
8172,music
2700,video-games
7271,music
2665,sports
7605,music
6587,music
5215,sports
2933,sports
1517,science-technology
4949,sports
2824,music
7908,music
146,science-technology
3628,sports
8552,music
5071,sports
6924,music
2013,for-kids
8174,music
3849,sports
2805,science-technology
227,science-technology
1516,science-technology
4145,sports
1889,music
972,science-technology
1157,science-technology
2207,science-technology
4281,sports
762,music
4998,sports
3507,video-games
8064,music
5176,sports
4268,sports
7115,science-technology
633,music
6154,music
5432,music
4772,sports
3386,sports
733,science-technology
912,science-technology
5257,music
5639,music
2977,sports
7063,music
8701,music
3854,sports
8620,music
1146,science-technology
6356,music
3599,sports
4385,sports
8016,music
7887,music
7375,music
1563,sports
461,sports
8675,music
1773,science-technology
6721,music
623,science-technology
7636,music
2679,video-games
8243,music
337,science-technology
8210,music
27,science-technology
4263,sports
6854,music
1600,music
3584,sports
5853,music
4089,sports
3842,sports
77,science-technology
5449,music
2050,for-kids
8276,music
5531,music
7553,music
6023,music
7139,music
6189,music
2753,video-games
7243,music
197,science-technology
4096,sports
7772,music
5613,music
6677,music
36,science-technology
2826,video-games
7344,music
6910,music
8138,music
511,sports
4889,sports
2975,sports
4189,sports
1523,science-technology
7188,music
1027,science-technology
5080,science-technology
971,science-technology
2202,for-kids
1421,science-technology
2011,sports
8378,music
6828,science-technology
3726,music
5001,sports
8159,music
6869,music
2690,video-games
2433,video-games
4730,sports
8421,music
2734,video-games
4995,sports
3261,sports
1558,music
3236,sports
4058,music
7858,music
6689,music
2695,video-games
8036,music
6017,music
5228,sports
5557,sports
804,music
8736,music
2008,science-technology
1577,science-technology
1511,science-technology
6918,music
6055,music
5705,music
8888,music
2465,video-games
3843,sports
5288,music
4906,sports
6215,music
4915,sports
7270,music
2419,video-games
4854,sports
2737,video-games
697,science-technology
2811,science-technology
7043,music
547,science-technology
4289,sports
1682,science-technology
7388,music
3759,sports
8376,music
827,science-technology
3793,sports
1755,science-technology
947,science-technology
2133,for-kids
5403,music
3427,sports
364,science-technology
8246,music
2859,music
8886,music
8680,music
2629,video-games
4422,sports
5402,music
2233,for-kids
6564,music
7533,music
5662,music
7861,music
4327,sports
4030,sports
3682,sports
7050,music
5027,sports
2655,video-games
3859,sports
8755,music
1899,for-kids
8197,music
7812,music
2669,video-games
8284,music
6414,music
8324,music
5431,music
940,science-technology
3085,sports
1844,for-kids
4670,sports
4722,sports
4258,sports
6605,music
8417,music
2051,for-kids
4633,sports
2906,sports
4372,sports
6693,music
4497,sports
395,science-technology
1136,science-technology
3765,sports
2633,video-games
5647,music
5025,sports
8826,music
7195,music
8493,music
5168,science-technology
3740,sports
4894,sports
3094,sports
1625,science-technology
5757,music
6930,music
4663,sports
4717,sports
151,science-technology
7622,music
7025,music
3162,sports
6170,music
4331,sports
4069,sports
1329,science-technology
5622,music
3163,sports
2289,science-technology
293,science-technology
6261,music
6375,music
4,science-technology
6092,music
741,science-technology
7121,music
3096,sports
3331,sports
6780,music
8331,music
1546,science-technology
8214,music
7081,music
4885,sports
3949,sports
5532,music
6067,music
1584,science-technology
948,science-technology
7216,music
7957,music
3934,sports
6325,music
1044,science-technology
5289,music
2046,for-kids
5319,music
6794,music
2217,for-kids
2499,video-games
2254,science-technology
2519,video-games
6030,music
869,science-technology
3615,sports
2144,sports
3982,sports
2156,for-kids
3837,sports
86,science-technology
705,science-technology
4408,music
3070,sports
5954,music
